"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)"
"Nederland";"Nederland                               ";17942942;12941748;1677093;3324101
"Aa en Hunze";"Aa en Hunze                             ";25845;23453;1062;1330
"Wijk 00 Annen";"Aa en Hunze                             ";3590;3345;100;150
"Annen";"Aa en Hunze                             ";3455;3210;95;150
"Verspreide huizen Annen";"Aa en Hunze                             ";140;130;5;5
"Wijk 01 Eext";"Aa en Hunze                             ";1460;1365;45;45
"Eext";"Aa en Hunze                             ";1285;1200;40;40
"Verspreide huizen Eext";"Aa en Hunze                             ";175;165;0;5
"Wijk 02 Anloo";"Aa en Hunze                             ";390;350;15;20
"Anloo";"Aa en Hunze                             ";330;295;15;20
"Verspreide huizen Anloo";"Aa en Hunze                             ";65;60;0;0
"Wijk 03 Gasteren";"Aa en Hunze                             ";390;345;20;15
"Gasteren";"Aa en Hunze                             ";375;335;20;15
"Verspreide huizen Gasteren";"Aa en Hunze                             ";10;5;0;0
"Wijk 04 Anderen";"Aa en Hunze                             ";260;240;10;10
"Anderen";"Aa en Hunze                             ";225;215;5;5
"Verspreide huizen Anderen";"Aa en Hunze                             ";30;25;5;0
"Wijk 05 Schipborg";"Aa en Hunze                             ";615;550;25;40
"Schipborg";"Aa en Hunze                             ";555;505;20;35
"Verspreide huizen Schipborg";"Aa en Hunze                             ";60;50;5;10
"Wijk 06 Eexterveen";"Aa en Hunze                             ";475;455;5;15
"Eexterveen";"Aa en Hunze                             ";450;435;5;10
"Verspreide huizen Eexterveen";"Aa en Hunze                             ";25;20;5;0
"Wijk 07 Spijkerboor";"Aa en Hunze                             ";145;145;0;0
"Spijkerboor";"Aa en Hunze                             ";145;140;5;0
"Verspreide huizen Spijkerboor";"Aa en Hunze                             ";0;0;0;0
"Wijk 08 Nieuw-Annerveen";"Aa en Hunze                             ";115;110;5;0
"Nieuw-Annerveen";"Aa en Hunze                             ";100;100;0;0
"Verspreide huizen Nieuw-Annerveen";"Aa en Hunze                             ";10;10;0;0
"Wijk 09 Oud-Annerveen";"Aa en Hunze                             ";115;105;5;10
"Oud-Annerveen";"Aa en Hunze                             ";115;105;5;10
"Verspreide huizen Oud-Annerveen";"Aa en Hunze                             ";5;5;0;0
"Wijk 11 Annerveenschekanaal";"Aa en Hunze                             ";405;365;15;25
"Annerveenschekanaal";"Aa en Hunze                             ";405;365;15;25
"Verspreide huizen Annerveenschekanaal";"Aa en Hunze                             ";5;5;0;0
"Wijk 12 Eexterveenschekanaal";"Aa en Hunze                             ";230;215;10;5
"Eexterveenschekanaal";"Aa en Hunze                             ";235;210;10;5
"Verspreide huizen Eexterveenschekanaal";"Aa en Hunze                             ";0;5;0;0
"Wijk 13 Eexterzandvoort";"Aa en Hunze                             ";120;115;0;5
"Eexterzandvoort";"Aa en Hunze                             ";95;85;5;5
"Verspreide huizen Eexterzandvoort";"Aa en Hunze                             ";30;30;5;0
"Wijk 14 Gasselte";"Aa en Hunze                             ";1865;1700;70;95
"Gasselte";"Aa en Hunze                             ";1540;1400;55;85
"Kostvlies";"Aa en Hunze                             ";135;125;10;5
"Verspreide huizen Gasselte";"Aa en Hunze                             ";195;175;10;10
"Wijk 15 Gasselternijveen";"Aa en Hunze                             ";1860;1665;60;140
"Gasselternijveen";"Aa en Hunze                             ";1815;1615;65;140
"Gasselterboerveen";"Aa en Hunze                             ";45;45;0;0
"Verspreide huizen Gasselternijveen";"Aa en Hunze                             ";0;0;0;0
"Wijk 16 Gasselternijveenschemond";"Aa en Hunze                             ";670;605;30;40
"Gasselternijveenschemond";"Aa en Hunze                             ";625;570;25;35
"Gasselterboerveenschemond";"Aa en Hunze                             ";40;35;0;5
"Verspr.h. Gasselternijveenschemond";"Aa en Hunze                             ";5;5;0;0
"Wijk 17 Gieten";"Aa en Hunze                             ";4965;4525;145;295
"Gieten";"Aa en Hunze                             ";4775;4375;135;260
"Verspreide huizen Gieten";"Aa en Hunze                             ";190;145;5;30
"Wijk 18 Gieterveen";"Aa en Hunze                             ";1255;1160;35;70
"Gieterveen";"Aa en Hunze                             ";685;635;15;35
"Bonnerveen";"Aa en Hunze                             ";105;95;5;5
"Nieuwediep";"Aa en Hunze                             ";270;245;10;15
"Verspreide huizen Gieterveen";"Aa en Hunze                             ";200;185;5;10
"Wijk 19 Rolde";"Aa en Hunze                             ";4975;4555;135;290
"Rolde";"Aa en Hunze                             ";3680;3360;100;225
"Ballo";"Aa en Hunze                             ";160;150;5;5
"Nijlande";"Aa en Hunze                             ";60;55;0;0
"Deurze";"Aa en Hunze                             ";80;75;0;0
"Verspreide huizen Nooitgedacht";"Aa en Hunze                             ";845;770;30;50
"Verspreide huizen Rolde";"Aa en Hunze                             ";145;140;0;10
"Wijk 20 Grolloo";"Aa en Hunze                             ";1415;1055;315;50
"Grolloo";"Aa en Hunze                             ";640;600;15;25
"Schoonloo";"Aa en Hunze                             ";185;170;10;0
"Verspreide huizen Papenvoort";"Aa en Hunze                             ";355;65;280;15
"Verspreide huizen Grolloo";"Aa en Hunze                             ";230;215;5;10
"Wijk 21 Ekehaar";"Aa en Hunze                             ";525;500;10;15
"Ekehaar";"Aa en Hunze                             ";265;245;10;5
"Amen";"Aa en Hunze                             ";105;100;0;5
"Verspreide huizen Ekehaar";"Aa en Hunze                             ";160;155;0;5
"Aalsmeer";"Aalsmeer                                ";33279;24391;3935;4953
"Wijk 00 Aalsmeer";"Aalsmeer                                ";13585;10155;1640;1795
"Centrum";"Aalsmeer                                ";2990;2255;435;305
"Stommeer";"Aalsmeer                                ";7020;5175;790;1055
"Hornmeer";"Aalsmeer                                ";2720;1985;350;380
"Uiterweg";"Aalsmeer                                ";855;745;60;50
"Wijk 01 Kudelstraat en Kalslagen";"Aalsmeer                                ";9255;7140;765;1350
"Kudelstaart";"Aalsmeer                                ";9260;7140;765;1355
"Wijk 02 Oosteinde";"Aalsmeer                                ";10440;7095;1535;1810
"Bovenlanden";"Aalsmeer                                ";975;785;105;80
"Greenpark";"Aalsmeer                                ";1215;615;510;90
"Oosteinde";"Aalsmeer                                ";7790;5350;850;1595
"Schinkelpolder";"Aalsmeer                                ";460;345;75;45
"Aalten";"Aalten                                  ";27308;23789;1988;1531
"Wijk 01 Buitengebied Aalten";"Aalten                                  ";4045;3750;205;85
"Barlo-Kern";"Aalten                                  ";110;110;0;0
"Verspreide huizen Barlo";"Aalten                                  ";480;460;10;10
"Verspreide huizen Heurne";"Aalten                                  ";340;320;10;5
"Verspreide huizen IJzerlo";"Aalten                                  ";495;455;25;10
"IJzerlo-kern";"Aalten                                  ";160;160;0;0
"Lintelo-kern";"Aalten                                  ";170;165;0;5
"Verspreide huizen ten westen van Aalten";"Aalten                                  ";250;215;25;10
"Verspreide huizen Lintelo";"Aalten                                  ";675;610;55;15
"Verspreide huizen Dalese Veld";"Aalten                                  ";100;95;5;5
"Verspreide huizen Dale";"Aalten                                  ";620;565;35;20
"Verspreide huizen Haart";"Aalten                                  ";550;510;30;5
"Haart-kern";"Aalten                                  ";90;85;0;0
"Wijk 02 Bredevoort";"Aalten                                  ";1960;1805;95;60
"Verspreide huizen Bredevoort";"Aalten                                  ";220;210;10;0
"Verspreide huizen Hollenberg";"Aalten                                  ";190;175;10;10
"Verspreide huizen Het Zwanenbroek";"Aalten                                  ";70;70;0;5
"Bredevoort";"Aalten                                  ";1470;1355;70;45
"Wijk 03 Aalten Kern";"Aalten                                  ";12990;11335;745;905
"Aalten-kern West";"Aalten                                  ";2015;1715;120;185
"Aalten-kern Zuid 1";"Aalten                                  ";2370;2040;165;170
"Aalten-kern Zuid 2";"Aalten                                  ";1490;1340;85;60
"Aalten-kern Noord/Noordoost";"Aalten                                  ";2765;2500;130;135
"Aalten Kern 't Kobus";"Aalten                                  ";995;880;30;90
"Aalten-kern Oost";"Aalten                                  ";1015;880;50;85
"Aalten-kern Centrum";"Aalten                                  ";2340;1990;165;185
"Wijk 04 Dinxperlo";"Aalten                                  ";8315;6900;935;480
"Dinxperlo Centrum/Oost";"Aalten                                  ";2890;2255;395;245
"Dinxperlo Noord";"Aalten                                  ";1750;1450;210;90
"Dinxperlo West";"Aalten                                  ";2370;1975;270;120
"De Heurne-kern";"Aalten                                  ";365;350;10;5
"Verspreide huizen Dinxperlo";"Aalten                                  ";265;240;15;10
"Verspreide huizen De Heurne";"Aalten                                  ";665;630;30;10
"Achtkarspelen";"Achtkarspelen                           ";28226;26538;713;975
"Wijk 00 Noord";"Achtkarspelen                           ";12140;11180;445;515
"Buitenpost";"Achtkarspelen                           ";5230;4720;200;310
"Twijzel";"Achtkarspelen                           ";1020;945;50;25
"Kootstertille";"Achtkarspelen                           ";2120;1960;110;55
"Twijzelerheide";"Achtkarspelen                           ";1585;1500;40;50
"Gerkesklooster";"Achtkarspelen                           ";725;665;25;40
"Verspreide huizen Buitenpost";"Achtkarspelen                           ";710;675;10;20
"Verspreide huizen Twijzel";"Achtkarspelen                           ";95;90;0;5
"Verspreide huizen Kootstertille";"Achtkarspelen                           ";350;340;10;0
"Verspreide huizen Twijzelerheide";"Achtkarspelen                           ";230;220;5;0
"Verspreide huizen Gerkesklooster";"Achtkarspelen                           ";70;65;0;0
"Wijk 01 Centrum";"Achtkarspelen                           ";3190;3055;70;70
"Stroobos";"Achtkarspelen                           ";240;230;0;10
"Drogeham";"Achtkarspelen                           ";1480;1415;25;35
"Augustinusga";"Achtkarspelen                           ";1030;990;15;20
"Verspreide huizen Stroobos";"Achtkarspelen                           ";65;60;0;0
"Verspreide huizen Drogeham";"Achtkarspelen                           ";190;180;5;0
"Verspreide huizen Augustinusga";"Achtkarspelen                           ";195;175;20;5
"Wijk 02 Zuid";"Achtkarspelen                           ";12890;12305;195;390
"Surhuisterveen";"Achtkarspelen                           ";5715;5390;90;240
"Harkema";"Achtkarspelen                           ";4030;3905;55;70
"Surhuizum";"Achtkarspelen                           ";840;795;15;35
"Boelenslaan";"Achtkarspelen                           ";750;700;25;25
"Verspreide huizen Surhuisterveen";"Achtkarspelen                           ";415;405;10;0
"Verspreide huizen Harkema";"Achtkarspelen                           ";305;290;0;10
"Verspreide huizen Surhuizum";"Achtkarspelen                           ";380;375;0;5
"Verspreide huizen Boelenslaan";"Achtkarspelen                           ";455;440;10;5
"Alblasserdam";"Alblasserdam                            ";20314;16673;1270;2371
"Wijk 01 Centrum";"Alblasserdam                            ";4930;4230;305;395
"Cortgene";"Alblasserdam                            ";980;800;110;70
"Redersbuurt";"Alblasserdam                            ";635;530;35;75
"kerkbuurt";"Alblasserdam                            ";1590;1405;70;115
"Polderbuurt";"Alblasserdam                            ";525;490;15;25
"De Werven";"Alblasserdam                            ";1205;1015;70;120
"Wijk 02 Kinderdijk";"Alblasserdam                            ";3805;3130;225;455
"Dijk";"Alblasserdam                            ";620;575;20;25
"Vogelbuurt";"Alblasserdam                            ";1215;970;85;160
"Waterland";"Alblasserdam                            ";440;350;45;50
"Groene Long";"Alblasserdam                            ";15;10;0;0
"Rivierenbuurt";"Alblasserdam                            ";925;755;40;130
"Nieuw Kinderdijk";"Alblasserdam                            ";590;475;30;95
"Wijk 03 Blokweer";"Alblasserdam                            ";7375;5865;450;1065
"Zeelt";"Alblasserdam                            ";910;790;45;80
"Middelland";"Alblasserdam                            ";570;505;25;35
"Blokweer Noord";"Alblasserdam                            ";950;835;40;75
"Blokweer Zuid";"Alblasserdam                            ";775;690;45;35
"Drentsebuurt";"Alblasserdam                            ";905;695;45;170
"Florabuurt";"Alblasserdam                            ";1595;1255;75;260
"Staatsliedenbuurt";"Alblasserdam                            ";1680;1090;180;410
"Wijk 04 Souburgh";"Alblasserdam                            ";3825;3210;185;430
"Schildersbuurt";"Alblasserdam                            ";1275;1070;65;145
"Schrijversbuurt";"Alblasserdam                            ";1590;1335;70;185
"Klein Alblas";"Alblasserdam                            ";460;420;10;30
"Oranjebuurt";"Alblasserdam                            ";500;390;35;75
"Wijk 05 Bedrijventerrein";"Alblasserdam                            ";160;45;100;20
"Vinkenwaard";"Alblasserdam                            ";135;25;100;20
"Hoogendijk";"Alblasserdam                            ";0;0;0;0
"Nieuwland";"Alblasserdam                            ";25;25;0;0
"Wijk 06 Landelijk gebied";"Alblasserdam                            ";215;195;10;10
"Polder Blokweer";"Alblasserdam                            ";5;5;0;0
"Polder Kortland";"Alblasserdam                            ";50;50;5;0
"Polder Souburgh";"Alblasserdam                            ";30;25;0;0
"Polder Vinkenwaard";"Alblasserdam                            ";130;115;5;5
"Albrandswaard";"Albrandswaard                           ";26428;19681;1789;4958
"Wijk 01 Poortugaal-Noord";"Albrandswaard                           ";2630;2010;175;445
"Valckesteyn";"Albrandswaard                           ";2370;1780;165;425
"Zwaardijk-Kruisdijk";"Albrandswaard                           ";100;80;5;15
"Poortugaal";"Albrandswaard                           ";50;45;0;0
"Buitengebied Poortugaal";"Albrandswaard                           ";110;110;0;5
"Wijk 02 Rhoon-Noord";"Albrandswaard                           ";2025;1510;190;320
"Rhoon Noord";"Albrandswaard                           ";1990;1485;190;320
"Buitengebied Rhoon-Noord";"Albrandswaard                           ";35;30;5;0
"Wijk 03 Poortugaal-Zuid";"Albrandswaard                           ";7020;5380;465;1170
"Beatrixstraat";"Albrandswaard                           ";975;665;115;190
"Landweg";"Albrandswaard                           ";1855;1515;80;260
"Poortugaal-Centrum";"Albrandswaard                           ";1065;905;60;105
