Regioaanduiding/Gemeentenaam (naam),Bevolking/Aantal inwoners (aantal),Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal),Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal),Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)
's-Gravenhage                           ,1698606,680292,300223,718136
's-Hertogenbosch                        ,482282,364206,36139,81942
Aa en Hunze                             ,77545,70383,3177,3995
Aalsmeer                                ,99844,73176,11815,14863
Aalten                                  ,81903,71384,5928,4596
Achtkarspelen                           ,84671,79608,2143,2915
Alblasserdam                            ,60949,50043,3810,7136
Albrandswaard                           ,79298,59041,5369,14873
Alkmaar                                 ,336939,250562,26760,59542
Almelo                                  ,222932,157921,18733,46303
Almere                                  ,679430,344176,60394,274975
Alphen aan den Rijn                     ,344886,262026,26230,56650
Alphen-Chaam                            ,31365,26253,3488,1644
Altena                                  ,174817,155899,9631,9262
Ameland                                 ,11524,10236,791,482
Amersfoort                              ,485502,347994,30052,107446
Amstelveen                              ,285024,134086,41857,109111
Amsterdam                               ,2793888,1127467,476684,1189642
Apeldoorn                               ,504636,397650,31691,75210
Arnhem                                  ,502897,318735,45560,138627
Assen                                   ,209121,168498,11089,29514
Asten                                   ,51897,44874,4087,2921
Baarle-Nassau                           ,21216,14960,5027,1229
Baarn                                   ,75190,59028,5331,10831
Barendrecht                             ,146095,102897,9433,33720
Barneveld                               ,187782,166414,6254,15074
Beek (L.)                               ,48645,39337,5255,4068
Beekdaelen                              ,107691,89386,11699,6611
Beesel                                  ,40179,32516,4310,3368
Berg en Dal                             ,106434,88517,9893,7984
Bergeijk                                ,57601,49643,5127,2801
Bergen (L.)                             ,39449,32606,4749,2109
Bergen (NH.)                            ,89807,74608,7716,7468
Bergen op Zoom                          ,209069,147763,19902,41434
Berkelland                              ,131813,119019,6297,6422
Bernheze                                ,97592,86081,6025,5451
Best                                    ,93663,72911,8526,12221
Beuningen                               ,80180,67892,5051,7217
Beverwijk                               ,128606,87903,14181,26537
Bladel                                  ,62945,55051,4715,3189
Blaricum                                ,38174,28252,3710,6202
Bloemendaal                             ,71356,54285,7360,9721
Bodegraven-Reeuwijk                     ,109719,90980,7009,11760
Boekel                                  ,33883,30302,2064,1527
Borger-Odoorn                           ,78044,71517,3040,3457
Borne                                   ,73929,63760,4387,5752
Borsele                                 ,69351,61087,4537,3777
Boxtel                                  ,101929,82025,7922,12017
Breda                                   ,564233,407185,55370,101648
Bronckhorst                             ,108364,99682,4076,4581
Brummen                                 ,63876,54780,2966,6125
Brunssum                                ,83300,62165,13019,8161
Bunnik                                  ,48338,40056,3143,5114
Bunschoten                              ,67869,58559,3918,5377
Buren                                   ,83308,73495,5105,4723
Capelle aan den IJssel                  ,203780,119105,18061,66619
Castricum                               ,109101,94336,5820,8930
Coevorden                               ,107170,94976,5430,6804
Cranendonck                             ,62536,50593,6981,4962
Culemborg                               ,89824,66632,5963,17259
Dalfsen                                 ,89053,81427,3487,4154
Dantumadiel                             ,57410,53657,1489,2274
De Bilt                                 ,131128,101995,9249,19879
De Fryske Marren                        ,155814,140097,6950,8757
De Ronde Venen                          ,137438,109220,9853,18400
De Wolden                               ,73715,68511,2230,2954
Delft                                   ,328752,190904,44802,93051
Den Helder                              ,169302,130612,10899,27776
Deurne                                  ,99535,86862,6416,6272
Deventer                                ,310215,233521,21793,54916
Diemen                                  ,98912,45045,16445,37437
Dijk en Waard                           ,270166,211514,18592,40115
Dinkelland                              ,80199,72555,4924,2745
Doesburg                                ,33229,25759,2241,5234
Doetinchem                              ,178813,148039,11270,19499
Dongen                                  ,81285,67713,5809,7793
Dordrecht                               ,366230,241458,36321,88406
Drechterland                            ,61506,52791,4560,4160
Drimmelen                               ,84587,73900,5727,4965
Dronten                                 ,133074,104580,11167,17347
Druten                                  ,58790,49867,3642,5261
Duiven                                  ,74622,61802,4771,8044
Echt-Susteren                           ,96116,77489,11576,7016
Edam-Volendam                           ,110757,97721,4536,8480
Ede                                     ,370607,301549,19395,49678
Eemnes                                  ,29275,23987,1723,3555
Eemsdelta                               ,135301,111077,7612,16587
Eersel                                  ,60594,52528,4302,3749
Eijsden-Margraten                       ,78089,65816,8045,4263
Eindhoven                               ,739217,410898,105929,222370
Elburg                                  ,71706,65445,2486,3800
Emmen                                   ,328061,278922,22489,26630
Enkhuizen                               ,56690,45412,5523,5700
Enschede                                ,485213,321482,55291,108450
Epe                                     ,99503,86175,4004,9329
