"Populatie";"Kenmerken van huishoudens";"Perioden";"Regio's";"Inkomen/Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Mediaan gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Gemiddeld besteedbaar inkomen (1 000 euro)";"Inkomen/Mediaan besteedbaar inkomen (1 000 euro)";"Verdeling inkomen/Gestandaardiseerd inkomen: 1e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 2e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 3e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 4e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 5e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 6e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 7e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 8e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 9e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 10e 10%-groep (%)"
"Particuliere huishoudens incl. studenten";"Type: Eenpersoonshuishouden";"2024*";"Aa en Hunze";32,8;29,9;32,8;29,9;13;13;17;14;11;9;8;7;5;3
"Particuliere huishoudens incl. studenten";"Type: Eenpersoonshuishouden";"2024*";"Aalsmeer";42;30,6;42;30,6;12;13;16;14;12;10;7;6;5;5
"Particuliere huishoudens incl. studenten";"Type: Eenpersoonshuishouden";"2024*";"Aalten";31,8;30,1;31,8;30,1;9;15;17;17;14;10;8;5;3;2
"Particuliere huishoudens incl. studenten";"Type: Eenpersoonshuishouden";"2024*";"Achtkarspelen";29,6;27,3;29,6;27,3;16;19;18;13;11;8;6;3;2;2
"Particuliere huishoudens incl. studenten";"Type: Eenpersoonshuishouden";"2024*";"Alblasserdam";31,7;28,8;31,6;28,8;12;15;20;14;11;9;7;5;4;3
"Particuliere huishoudens incl. studenten";"Type: Eenpersoonshuishouden";"2024*";"Albrandswaard";36,7;32,5;36,7;32,5;10;11;16;13;11;9;9;8;7;6
"Particuliere huishoudens incl. studenten";"Type: Eenpersoonshuishouden";"2024*";"Alkmaar";33,4;30,6;33,3;30,6;13;15;14;13;12;10;9;6;5;4
"Particuliere huishoudens incl. studenten";"Type: Eenpersoonshuishouden";"2024*";"Almelo";34,7;27,4;34,6;27,3;16;20;17;13;10;8;6;4;3;2
"Particuliere huishoudens incl. studenten";"Type: Eenpersoonshuishouden";"2024*";"Almere";33,2;30,6;33,2;30,6;15;15;13;12;11;10;8;7;5;4
"Particuliere huishoudens incl. studenten";"Type: Eenpersoonshuishouden";"2024*";"Alphen aan den Rijn";35;32,1;35;32,1;11;12;15;13;13;11;9;8;6;4
