"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Europa (exclusief Nederland) (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Buiten Europa (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)";"Onderwijs/Onderwijssoort/Leerlingen po (aantal)";"Onderwijs/Onderwijssoort/Leerlingen vo (incl. vavo)  (aantal)";"Onderwijs/Onderwijssoort/Studenten mbo (excl. extranei) (aantal)";"Onderwijs/Onderwijssoort/Studenten hbo (aantal)";"Onderwijs/Onderwijssoort/Studenten wo (aantal)";"Onderwijs/Hoogst behaald onderwijsniveau/Basisonderwijs, vmbo, mbo1 (aantal)";"Onderwijs/Hoogst behaald onderwijsniveau/Havo, vwo, mbo2-4 (aantal)";"Onderwijs/Hoogst behaald onderwijsniveau/Hbo, wo (aantal)";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)";"Sociale zekerheid/Personen per soort uitkering; Bijstand (aantal)";"Sociale zekerheid/Personen per soort uitkering; AO (aantal)";"Sociale zekerheid/Personen per soort uitkering; WW (aantal)";"Sociale zekerheid/Personen per soort uitkering; AOW (aantal)"
"Aa en Hunze";25845;12867;12978;3490;2505;4712;7770;7368;10416;11851;1944;1634;23453;1062;1330;23453;456;551;606;779;160;6;319;12;11410;3333;4479;3598;2,2;94;1900;1300;700;470;150;;;;;;;;;;;;;;;;;350;1110;190;6620
"Aalsmeer";33279;16456;16823;5240;4303;7515;9858;6363;16403;13232;2124;1520;24391;3935;4953;24391;1158;2184;2777;2769;250;8;293;9;14405;4895;3909;5601;2,3;1656;2670;2250;830;770;390;;;;;;;;;;;;;;;;;360;980;260;5650
"Aalten";27308;13780;13528;4030;3127;5580;7925;6646;12298;11696;1634;1680;23789;1988;1531;23789;1120;612;868;919;247;9;297;11;11740;3639;4053;4048;2,3;283;2140;1450;970;630;110;;;;;;;;;;;;;;;;;360;1270;130;5930
"Achtkarspelen";28226;14380;13846;4596;3561;6225;7744;6100;13062;11720;1874;1570;26538;713;975;26538;312;351;401;624;249;9;251;9;12122;3892;3775;4455;2,3;276;2470;1580;1050;630;130;;;;;;;;;;;;;;;;;570;1340;220;5530
"Alblasserdam";20314;10015;10299;3746;2442;4767;5244;4115;8969;8923;1346;1076;16673;1270;2371;16673;526;1152;744;1219;230;11;180;9;8510;2771;2502;3237;2,4;2316;2020;1190;590;390;140;;;;;;;;;;;;;;;;;390;820;130;3720
"Albrandswaard";26428;13093;13335;4426;3156;5845;7970;5031;12251;11152;1892;1133;19681;1789;4958;19681;947;2747;842;2211;245;9;192;7;10644;2906;3182;4556;2,4;1220;2380;1700;730;640;270;;;;;;;;;;;;;;;;;340;880;210;4500
"Alkmaar";112304;55423;56881;16755;12170;29276;30519;23584;57203;39220;10720;5161;83517;8930;19857;83517;3797;9120;5133;10737;1124;10;1064;9;54312;22680;14697;16935;2;1018;8860;5700;2900;2320;910;;;;;;;;;;;;;;;;;2520;6290;970;21200
"Almelo";74317;37364;36953;11026;9187;18271;20465;15368;35457;28248;6508;4104;52636;6243;15438;52636;2572;7302;3671;8136;710;10;805;11;33795;12772;9483;11540;2,2;1106;6150;3800;2540;1780;380;;;;;;;;;;;;;;;;;2510;5120;770;13760
"Almere";226500;112303;114197;41129;27737;66486;60235;30913;120086;81096;19115;6203;114731;20124;91645;114731;7470;42691;12654;48954;2555;11;1272;6;96667;32155;23882;40630;2,3;1753;22190;13390;7180;5560;2200;;;;;;;;;;;;;;;;;5460;10110;2470;26910
"Alphen aan den Rijn";114966;57237;57729;18253;13199;28937;31175;23402;54448;46549;8679;5290;87351;8745;18870;87351;3295;9226;5450;9644;1188;10;953;8;50699;17177;15579;17943;2,2;913;9680;6380;3040;2510;1110;;;;;;;;;;;;;;;;;1770;4270;830;21080
"Alphen-Chaam";10455;5326;5129;1527;1044;2153;3106;2625;4534;4691;647;583;8743;1163;549;8743;642;225;521;324;85;8;102;10;4411;1197;1657;1557;2,3;112;830;530;220;220;70;;;;;;;;;;;;;;;;;80;300;80;2350
"Altena";58277;29367;28910;9755;7106;13489;15897;12030;25531;26568;3260;2918;51974;3216;3087;51974;939;1318;2277;1769;568;10;491;8;23927;7094;7763;9070;2,4;292;5220;3290;1720;1070;330;;;;;;;;;;;;;;;;;660;2000;350;10860
"Ameland";3839;1933;1906;550;407;947;994;941;1826;1560;234;219;3416;261;162;3416;64;73;197;89;25;7;38;10;1886;808;595;483;2;68;280;200;100;20;0;;;;;;;;;;;;;;;;;0;120;40;870
"Amersfoort";161852;80172;81680;27417;19642;44065;44258;26470;83104;59807;13047;5894;116004;10027;35821;116004;4653;17608;5374;18213;1770;11;1259;8;72682;27485;19688;25509;2,2;2590;14400;10160;4310;4150;1870;;;;;;;;;;;;;;;;;3470;7130;1610;23500
"Amstelveen";95014;45744;49270;16321;12039;24847;23412;18395;48487;35713;6584;4230;44701;13942;36371;44701;4232;11600;9710;24771;664;7;876;9;45423;19850;10467;15106;2,1;2311;8290;6160;1170;1890;3870;;;;;;;;;;;;;;;;;1230;2580;820;16430
