Gemeente;Code;AmsterdamseCode;Partij;AantalStemmen;AantalZetels;
's-Gravenhage;G0518;11434;D66;49028;;
's-Gravenhage;G0518;11434;GROENLINKS / Partij van de Arbeid (PvdA);40603;;
's-Gravenhage;G0518;11434;PVV (Partij voor de Vrijheid);38897;;
's-Gravenhage;G0518;11434;VVD;30135;;
's-Gravenhage;G0518;11434;DENK;21620;;
's-Gravenhage;G0518;11434;CDA;16842;;
's-Gravenhage;G0518;11434;JA21;10543;;
's-Gravenhage;G0518;11434;Partij voor de Dieren;8430;;
's-Gravenhage;G0518;11434;Forum voor Democratie;8274;;
's-Gravenhage;G0518;11434;SP (Socialistische Partij);4951;;
's-Gravenhage;G0518;11434;Volt;3766;;
's-Gravenhage;G0518;11434;ChristenUnie;2703;;
's-Gravenhage;G0518;11434;50PLUS;2416;;
's-Gravenhage;G0518;11434;BBB;2085;;
's-Gravenhage;G0518;11434;BIJ1;1914;;
's-Gravenhage;G0518;11434;Staatkundig Gereformeerde Partij (SGP);1122;;
's-Gravenhage;G0518;11434;Nieuw Sociaal Contract (NSC);848;;
's-Gravenhage;G0518;11434;Vrede voor Dieren;589;;
's-Gravenhage;G0518;11434;Belang Van Nederland (BVNL);338;;
's-Gravenhage;G0518;11434;Piratenpartij;293;;
's-Gravenhage;G0518;11434;LP (Libertaire Partij);204;;
's-Gravenhage;G0518;11434;NL PLAN;198;;
's-Gravenhage;G0518;11434;DE LINIE;87;;
's-Gravenhage;G0518;11434;FNP;60;;
's-Gravenhage;G0518;11434;ELLECT;30;;
's-Gravenhage;G0518;11434;Vrij Verbond;24;;
's-Hertogenbosch;G0796;10054;D66;22025;;
's-Hertogenbosch;G0796;10054;PVV (Partij voor de Vrijheid);16578;;
's-Hertogenbosch;G0796;10054;VVD;15196;;
's-Hertogenbosch;G0796;10054;GROENLINKS / Partij van de Arbeid (PvdA);13756;;
's-Hertogenbosch;G0796;10054;CDA;9817;;
's-Hertogenbosch;G0796;10054;JA21;5412;;
's-Hertogenbosch;G0796;10054;Forum voor Democratie;3303;;
's-Hertogenbosch;G0796;10054;DENK;2364;;
's-Hertogenbosch;G0796;10054;Partij voor de Dieren;2276;;
's-Hertogenbosch;G0796;10054;SP (Socialistische Partij);2191;;
's-Hertogenbosch;G0796;10054;Volt;1495;;
's-Hertogenbosch;G0796;10054;50PLUS;1338;;
's-Hertogenbosch;G0796;10054;BBB;1186;;
's-Hertogenbosch;G0796;10054;ChristenUnie;457;;
's-Hertogenbosch;G0796;10054;BIJ1;321;;
's-Hertogenbosch;G0796;10054;Nieuw Sociaal Contract (NSC);254;;
's-Hertogenbosch;G0796;10054;Belang Van Nederland (BVNL);160;;
's-Hertogenbosch;G0796;10054;Staatkundig Gereformeerde Partij (SGP);133;;
's-Hertogenbosch;G0796;10054;Vrede voor Dieren;114;;
's-Hertogenbosch;G0796;10054;LP (Libertaire Partij);85;;
's-Hertogenbosch;G0796;10054;Piratenpartij;84;;
's-Hertogenbosch;G0796;10054;DE LINIE;51;;
's-Hertogenbosch;G0796;10054;NL PLAN;30;;
's-Hertogenbosch;G0796;10054;Vrij Verbond;19;;
's-Hertogenbosch;G0796;10054;FNP;13;;
Aa en Hunze;G1680;10787;VVD;3363;;
Aa en Hunze;G1680;10787;D66;3129;;
Aa en Hunze;G1680;10787;GROENLINKS / Partij van de Arbeid (PvdA);2693;;
Aa en Hunze;G1680;10787;PVV (Partij voor de Vrijheid);2314;;
Aa en Hunze;G1680;10787;CDA;1872;;
Aa en Hunze;G1680;10787;BBB;1056;;
Aa en Hunze;G1680;10787;JA21;923;;
Aa en Hunze;G1680;10787;Forum voor Democratie;874;;
Aa en Hunze;G1680;10787;SP (Socialistische Partij);497;;
Aa en Hunze;G1680;10787;Partij voor de Dieren;341;;
Aa en Hunze;G1680;10787;50PLUS;277;;
Aa en Hunze;G1680;10787;ChristenUnie;227;;
Aa en Hunze;G1680;10787;Volt;197;;
Aa en Hunze;G1680;10787;Staatkundig Gereformeerde Partij (SGP);67;;
Aa en Hunze;G1680;10787;Nieuw Sociaal Contract (NSC);66;;
Aa en Hunze;G1680;10787;DENK;31;;
Aa en Hunze;G1680;10787;Belang Van Nederland (BVNL);24;;
Aa en Hunze;G1680;10787;Vrede voor Dieren;22;;
Aa en Hunze;G1680;10787;BIJ1;13;;
Aa en Hunze;G1680;10787;LP (Libertaire Partij);13;;
